Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
variable,AXD-MEN-OVR-BLK,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black,1,1,visible,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1299,999,"Men's T-Shirts, Oversized Tees","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, jet black",https://images.unsplash.com/photo-1618517351616-38fb9c5210c6?auto=format&fit=crop&w=800&q=80,,Size,"XS, S, M, L, XL, XXL",1,1,Color,Jet Black,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-OVR-BLK-XS,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black - XS,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLK,Size,XS,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLK-S,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black - S,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLK,Size,S,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLK-M,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black - M,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLK,Size,M,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLK-L,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black - L,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLK,Size,L,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLK-XL,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black - XL,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLK,Size,XL,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLK-XXL,AXDORO 240 GSM Oversized Heavyweight Tee - Jet Black - XXL,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLK,Size,XXL,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-OVR-WHT,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White,1,1,visible,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1299,999,"Men's T-Shirts, Oversized Tees","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, vintage off-white",https://images.unsplash.com/photo-1620799139834-6b8f844fbe61?auto=format&fit=crop&w=800&q=80,,Size,"XS, S, M, L, XL, XXL",1,1,Color,Vintage Off-White,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-OVR-WHT-XS,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White - XS,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-WHT,Size,XS,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-WHT-S,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White - S,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-WHT,Size,S,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-WHT-M,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White - M,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-WHT,Size,M,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-WHT-L,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White - L,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-WHT,Size,L,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-WHT-XL,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White - XL,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-WHT,Size,XL,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-WHT-XXL,AXDORO 240 GSM Oversized Heavyweight Tee - Vintage Off-White - XXL,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-WHT,Size,XXL,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-RLX-OLV,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive,1,1,visible,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1199,899,"Men's T-Shirts, Boxy Half Sleeve","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, sage olive",https://images.unsplash.com/photo-1618354691373-d851c5c3a990?auto=format&fit=crop&w=800&q=80,,Size,"S, M, L, XL, XXL",1,1,Color,Sage Olive,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-RLX-OLV-S,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive - S,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-RLX-OLV,Size,S,0,1,Color,Sage Olive,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-RLX-OLV-M,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive - M,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-RLX-OLV,Size,M,0,1,Color,Sage Olive,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-RLX-OLV-L,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive - L,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-RLX-OLV,Size,L,0,1,Color,Sage Olive,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-RLX-OLV-XL,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive - XL,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-RLX-OLV,Size,XL,0,1,Color,Sage Olive,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-RLX-OLV-XXL,AXDORO 240 GSM Relaxed Boxy Crewneck Tee - Sage Olive - XXL,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-RLX-OLV,Size,XXL,0,1,Color,Sage Olive,0,1,Fabric,240 GSM Cotton,0,1
